X, Y, Value
1, 1, 45020
1, 2, 38000
1, 4, 33840
1, 8, 30861
1, 11, 30230
1, 16, 29043
1, 22, 30574
1, 44, 30235
1, 88, 29037
1, 176, 28360
2, 1, 39739
2, 2, 35504
2, 4, 33535
2, 8, 30709
2, 11, 30668
2, 16, 30716
2, 22, 30455
2, 44, 29682
2, 88, 29217
2, 176, 29514
3, 1, 37994
3, 2, 34140
3, 4, 31384
3, 8, 30843
3, 11, 29674
3, 16, 30716
3, 22, 29650
3, 44, 29690
3, 88, 28988
3, 176, 29163
4, 1, 36871
4, 2, 33399
4, 4, 32868
4, 8, 29985
4, 11, 30515
4, 16, 29438
4, 22, 30299
4, 44, 30060
4, 88, 28719
4, 176, 29757
6, 1, 35936
6, 2, 32950
6, 4, 32540
6, 8, 30297
6, 11, 30058
6, 16, 29624
6, 22, 30280
6, 44, 30160
6, 88, 28895
6, 176, 29246
8, 1, 35192
8, 2, 34045
8, 4, 31002
8, 8, 29736
8, 11, 29729
8, 16, 30158
8, 22, 30553
8, 44, 29541
8, 88, 29175
8, 176, 29427
9, 1, 34660
9, 2, 33383
9, 4, 30162
9, 8, 29449
9, 11, 29460
9, 16, 30751
9, 22, 28945
9, 44, 29752
9, 88, 30365
9, 176, 28746
12, 1, 34253
12, 2, 31840
12, 4, 30535
12, 8, 29643
12, 11, 29769
12, 16, 29698
12, 22, 30051
12, 44, 28526
12, 88, 29175
12, 176, 29231
16, 1, 34293
16, 2, 31636
16, 4, 30708
16, 8, 30505
16, 11, 29867
16, 16, 29827
16, 22, 28967
16, 44, 29421
16, 88, 29118
16, 176, 29840
18, 1, 33906
18, 2, 32442
18, 4, 31186
18, 8, 28908
18, 11, 29679
18, 16, 30451
18, 22, 30346
18, 44, 29621
18, 88, 29236
18, 176, 29063
24, 1, 33922
24, 2, 32461
24, 4, 31012
24, 8, 30517
24, 11, 29885
24, 16, 30080
24, 22, 29168
24, 44, 29605
24, 88, 28437
24, 176, 28712
36, 1, 34222
36, 2, 32519
36, 4, 31148
36, 8, 30024
36, 11, 30222
36, 16, 29627
36, 22, 29891
36, 44, 28924
36, 88, 30188
36, 176, 28891
48, 1, 33103
48, 2, 32490
48, 4, 30710
48, 8, 29256
48, 11, 29771
48, 16, 29496
48, 22, 29523
48, 44, 30118
48, 88, 28344
48, 176, 29241
72, 1, 34030
72, 2, 31990
72, 4, 30415
72, 8, 30789
72, 11, 30306
72, 16, 29578
72, 22, 29702
72, 44, 28860
72, 88, 29250
72, 176, 30162
144, 1, 32894
144, 2, 32135
144, 4, 31879
144, 8, 29961
144, 11, 31031
144, 16, 30179
144, 22, 29361
144, 44, 29553
144, 88, 29132
144, 176, 29545
